covariate,smd_all,smd_matched,bs_id
insect_defo,0.0559745222121339,0.00555344883407368,b03
insect_mort,0.00985632823416881,0.00771855785335912,b03
hurr_ws,0,0,b03
regionatlantic,0.0978614916414787,0.0174626050697497,b03
regionlakes,0.940023574675038,0.0212466544311332,b03
regionpacific,1.71855173859294,0.0760813706055431,b03
tpa_live,0.456200834542694,0.0423255418765207,b03
distance,1.10535586751904,0.00190846449941878,b04
tree_cover,0.321370200540735,0.0775355053351748,b04
forest_type,0.338716194340836,0.0581945116990735,b04
ppt,1.32875038602998,0.142599151019662,b04
dist_flowline,0.0959183138149029,0.0293833108729433,b04
density_flowline,0.752258366193338,0.0585130285092198,b04
wet_freq_z,0.245270307927984,0.0352956936158757,b04
wet_sev_z,0.907878865465133,0.013666817077087,b04
wet_freq,0.304832711986198,0.100579295355189,b04
tmax_z,0.188108023248867,0.0233956212023633,b04
spei_freq,0.599429987445104,0.00820286749407577,b04
insect_defo,0.0468855176515408,0.0166349529330511,b04
insect_mort,0.0278535954055472,0.0354606098315714,b04
hurr_ws,0,0,b04
regionatlantic,0.112042176439813,0.00900169016370676,b04
regionlakes,0.959437224530567,0.0310994509561202,b04
regionpacific,1.7235691047393,0.0796265622809086,b04
tpa_live,0.475531017457102,0.0296521391297316,b04
distance,1.09970296622641,0.00185626827155168,b05
tree_cover,0.304942053420976,0.0815658330083013,b05
forest_type,0.298467961445802,0.0678226738217587,b05
ppt,1.34156201871385,0.134347161327613,b05
dist_flowline,0.0872974469538636,0.0147047498874653,b05
density_flowline,0.742496887014893,0.0682117391235008,b05
wet_freq_z,0.2429342774968,0.0347376218268567,b05
wet_sev_z,0.899647902895605,0.00202602097316441,b05
wet_freq,0.29240099498548,0.0742148413072273,b05
tmax_z,0.189801211789494,0.0335483901816947,b05
spei_freq,0.61396014174596,0.00847511859200573,b05
insect_defo,0.0846144824002667,0.00569899563608962,b05
insect_mort,0.00961026631010524,0.0343163128757211,b05
hurr_ws,0,0,b05
regionatlantic,0.126482052930231,0.00830181454894463,b05
regionlakes,0.963252821284675,0.0332847560581494,b05
regionpacific,1.66251082871519,0.0805630544614048,b05
tpa_live,0.4490045223827,0.0181188317130722,b05
distance,1.10131101956396,0.00176851275439723,b06
tree_cover,0.283929888657737,0.0652216464316457,b06
forest_type,0.347271928911539,0.0498003576748994,b06
ppt,1.36125736828985,0.124912140649299,b06
dist_flowline,0.0786206433402127,0.0232398835642042,b06
density_flowline,0.740700199571261,0.0660446652409186,b06
wet_freq_z,0.249643553894863,0.0323319448760555,b06
wet_sev_z,0.912304005991286,0.0178266443242594,b06
wet_freq,0.286705975589951,0.0841832430527223,b06
tmax_z,0.172457552040118,0.0111023836807643,b06
spei_freq,0.581108185285565,0.0182644707207015,b06
insect_defo,0.0620683872792484,0.00110506507429539,b06
insect_mort,0.0191378147263471,0.0193567354048542,b06
hurr_ws,0,0,b06
regionatlantic,0.131863319733284,0.0434101551431481,b06
regionlakes,0.966821129647983,0.00935015349765649,b06
regionpacific,1.64531185005111,0.0965260515928835,b06
tpa_live,0.456002612565169,0.0406861961152641,b06
distance,1.09196548388869,0.0016678808696156,b07
tree_cover,0.303656999375934,0.0696289770736712,b07
forest_type,0.328879224368178,0.056008923588698,b07
